index,annotation_symbol
18,+
111,L
343,L
571,L
807,L
1048,L
1287,L
1523,L
1765,L
1994,L
2219,L
2435,L
2661,L
2883,L
3116,L
3352,L
3586,L
3813,L
4041,L
4264,L
4480,L
4690,L
4908,L
5128,L
5358,L
5592,L
5820,L
6047,L
6259,F
6482,L
6696,L
6918,L
7134,L
7357,L
7584,L
7824,L
8067,L
8292,L
8512,L
8737,L
8971,L
9197,L
9423,L
9660,L
9902,L
10148,L
10391,L
10620,L
10845,L
11075,L
11310,F
11549,L
11784,L
12030,L
12277,L
12523,L
12765,L
12997,L
13228,L
13464,L
13716,L
13924,V
14212,L
14463,L
14714,L
14958,L
15201,L
15437,L
15669,L
15918,L
16181,L
16437,L
16686,L
16936,L
17178,L
17424,L
17663,L
17903,L
18154,L
18422,L
18679,L
18929,L
19176,L
19415,L
19660,L
19907,L
20151,L
20400,L
20668,L
20929,L
21180,L
21425,L
21668,L
21910,L
22160,L
22408,L
22661,L
22922,L
23189,L
23439,L
23677,L
23918,L
24158,L
24408,L
24664,L
24923,L
25180,L
25448,L
25699,L
25938,L
26178,L
26422,L
26679,L
26940,L
27200,L
27455,L
27656,V
27965,L
28204,L
28452,L
28699,L
28960,L
29230,L
29490,L
29743,L
30004,L
30255,L
30499,L
30743,L
30997,L
31259,L
31532,L
31792,L
32042,L
32295,L
32551,L
32799,L
33042,L
33243,V
33561,L
33826,L
34088,L
34335,L
34580,L
34837,L
35086,L
35332,L
35591,L
35853,L
36119,L
36378,L
36627,L
36874,L
37131,L
37383,L
37639,L
37902,L
38165,L
38431,L
38691,L
38937,L
39178,L
39434,L
39691,L
39952,L
40212,L
40473,L
40729,L
40984,L
41228,L
41470,L
41721,L
41989,L
42251,L
42504,L
42764,L
43012,L
43264,L
43512,L
43760,L
44010,L
44283,L
44547,L
44800,L
45054,L
45302,L
45549,L
45777,V
46046,L
46292,L
46556,L
46820,L
47076,L
47316,L
47558,L
47796,L
48044,L
48291,L
48546,L
48805,L
49073,L
49328,L
49567,L
49809,L
50049,L
50300,L
50558,L
50810,L
51062,L
51329,L
51580,L
51821,L
52059,L
52302,L
52550,L
52812,L
53068,L
53319,L
53578,L
53833,L
54073,L
54307,L
54550,L
54793,L
55049,L
55306,L
55560,L
55805,L
56057,L
56297,L
56532,L
56773,L
57021,L
57283,L
57550,L
57803,L
58049,L
58299,L
58547,L
58793,L
59037,L
59295,L
59561,L
59829,L
60083,L
60329,L
60581,L
60833,L
61081,L
61333,L
61597,L
61859,L
62126,L
62378,L
62620,L
62865,L
63120,L
63370,L
63620,L
63879,L
64131,L
64389,L
64636,L
64875,L
65108,L
65357,L
65609,L
65862,L
66112,L
66370,L
66626,L
66878,L
67118,L
67355,L
67609,L
67871,L
68133,L
68388,L
68646,L
68895,L
69145,L
69386,L
69629,L
69881,L
70148,L
70409,L
70662,L
70916,L
71160,L
71406,L
71656,L
71902,L
72150,L
72417,L
72681,L
72937,L
73185,L
73432,L
73676,L
73929,L
74180,L
74432,L
74697,L
74970,L
75226,L
75466,L
75712,L
75954,L
76206,L
76463,L
76726,L
76984,L
77256,L
77511,L
77754,L
77999,L
78248,L
78506,L
78771,L
79032,L
79288,L
79550,L
79803,L
80049,L
80290,L
80539,L
80797,L
81065,L
81324,L
81578,L
81835,L
82089,L
82335,L
82576,L
82829,L
83085,L
83354,L
83616,L
83868,L
84119,L
84378,L
84622,L
84823,V
85114,L
85367,L
85636,L
85895,L
86143,L
86380,L
86628,L
86866,L
87103,L
87344,L
87592,L
87841,L
88085,L
88320,L
88550,L
88776,L
89020,L
89255,L
89490,L
89732,L
89980,L
90230,L
90478,L
90707,L
90935,L
91175,L
91424,L
91673,L
91919,L
92173,L
92424,L
92676,L
92920,L
93159,L
93405,L
93671,L
93933,L
94190,L
94455,L
94712,L
94970,L
95223,L
95474,L
95726,L
96004,L
96276,L
96540,L
96805,L
97062,L
97320,L
97575,L
97831,L
98091,L
98372,L
98645,L
98902,L
99157,L
99407,L
99665,L
99919,L
100176,L
100441,L
100722,L
100983,L
101234,L
101483,L
101727,L
101979,L
102236,L
102493,L
102752,L
103024,L
103284,L
103531,L
103779,L
104027,L
104282,L
104538,V
104817,L
105076,L
105346,L
105606,L
105854,L
106097,L
106349,L
106605,L
106872,L
107137,L
107396,L
107657,L
107920,L
108170,L
108413,L
108669,L
108932,L
109204,L
109471,L
109733,L
109990,L
110249,L
110499,L
110744,L
111002,L
111264,L
111537,L
111802,L
112058,L
112308,L
112571,L
112822,L
113075,L
113340,L
113606,L
113882,L
114147,L
114398,L
114643,L
114906,L
115161,L
115415,L
115684,L
115948,L
116217,L
116479,L
116730,L
116974,L
117241,L
117501,L
117761,L
118027,L
118288,L
118544,L
118796,L
119037,L
119274,L
119531,L
119787,L
120043,L
120291,L
120536,L
120780,L
121016,L
121243,L
121470,L
121700,L
121954,L
122191,L
122430,L
122662,L
122891,L
123119,L
123354,L
123576,L
123801,L
124037,L
124289,L
124527,L
124758,L
124992,L
125221,L
125452,L
125687,L
125917,L
126151,L
126397,L
126651,L
126892,L
127121,L
127352,L
127580,L
127816,L
128056,L
128296,L
128538,L
128793,L
129048,L
129294,L
129525,L
129760,L
129994,L
130240,L
130488,L
130741,L
130993,L
131256,L
131506,L
131744,L
131981,L
132222,L
132476,L
132741,L
132996,L
133250,L
133515,L
133773,L
