index,annotation_symbol
125,+
214,R
451,R
696,R
924,R
1168,R
1440,R
1707,R
1953,R
2191,R
2397,R
2604,R
2826,R
3049,R
3280,R
3548,R
3789,R
4030,R
4278,R
4516,R
4754,R
4976,R
5199,R
5438,R
5680,R
5917,R
6161,R
6398,R
6630,R
6854,R
7091,R
7333,R
7570,R
7813,R
8068,R
8331,R
8571,R
8806,R
9049,R
9280,R
9506,R
9741,R
9992,R
10232,R
10478,R
10716,R
10943,R
11171,R
11402,R
11637,R
11868,R
12097,R
12335,R
12574,R
12809,R
13044,R
13276,R
13499,R
13731,R
13972,R
14220,R
14467,R
14727,R
14981,R
15224,R
15458,R
15699,R
15940,R
16177,R
16416,R
16669,R
16925,R
17166,R
17415,R
17661,R
17899,R
18118,R
18346,R
18591,R
18837,R
19080,R
19302,R
19516,R
19730,R
19936,R
20150,R
20386,R
20629,R
20880,R
21121,R
21363,R
21603,R
21830,R
22048,R
22264,R
22499,R
22761,N
23024,N
23276,N
23521,N
23770,N
24012,N
24255,N
24488,N
24718,N
24967,N
25231,N
25482,N
25726,N
25977,N
26223,N
26453,N
26691,N
26940,N
27188,N
27435,N
27691,N
27939,N
28178,N
28415,N
28650,N
28885,N
29119,N
29351,N
29590,N
29831,N
30080,N
30315,N
30543,N
30773,N
30996,N
31224,N
31465,N
31721,N
31971,N
32203,N
32427,N
32646,N
32869,N
33089,N
33313,N
33545,N
33785,N
34019,N
34261,N
34500,N
34730,N
34958,N
35189,N
35426,N
35658,N
35900,N
36153,N
36404,N
36626,N
36850,N
37069,N
37297,N
37533,N
37764,N
38011,N
38238,N
38458,N
38682,R
38907,R
39128,R
39349,R
39566,R
39807,R
40073,N
40345,N
40620,N
40883,N
41116,N
41340,N
41555,N
41772,N
42006,N
42269,N
42528,N
42793,N
43025,N
43251,N
43481,N
43708,N
43937,N
44196,N
44426,N
44678,N
44929,N
45168,N
45404,N
45627,N
45844,N
46063,N
46298,N
46537,N
46776,N
47014,N
47246,N
47454,N
47676,N
47913,N
48161,N
48401,N
48646,N
48892,N
49130,N
49365,N
49595,N
49810,N
50023,N
50237,N
50468,N
50718,N
50962,N
51205,N
51450,N
51694,N
51922,N
52154,N
52392,N
52610,N
52832,N
53060,N
53298,N
53533,N
53757,N
53984,N
54201,N
54412,N
54623,R
54844,R
55074,R
55303,R
55523,R
55743,R
55962,R
56175,R
56383,R
56585,R
56791,R
56987,R
57188,R
57397,R
57610,R
57834,R
58060,R
58279,R
58490,R
58696,R
58911,R
59134,R
59364,R
59590,R
59809,R
60035,R
60264,R
60481,R
60697,R
60909,R
61122,R
61342,R
61565,R
61796,R
62030,R
62265,R
62491,R
62711,R
62930,R
63150,R
63369,R
63598,R
63828,R
64058,R
64297,R
64527,R
64752,R
64975,R
65191,R
65408,R
65616,R
65838,R
66078,R
66318,R
66554,R
66787,R
67013,R
67231,R
67446,R
67681,R
67929,R
68175,R
68416,R
68662,R
68910,R
69147,R
69386,R
69634,R
69869,R
70105,R
70353,R
70606,R
70853,R
71100,R
71342,R
71581,R
71811,R
72046,R
72282,R
72520,R
72762,R
73011,R
73254,R
73492,R
73722,R
73944,R
74164,R
74384,R
74613,R
74853,R
75095,R
75342,R
75586,R
75817,R
76046,R
76270,R
76503,R
76746,R
76982,R
77219,R
77463,R
77696,R
77919,R
78145,R
78372,R
78596,R
78821,R
79054,R
79302,R
79544,R
79779,R
80013,R
80236,R
80461,R
80689,R
80916,R
81151,R
81387,R
81615,R
81848,R
82076,R
82298,R
82524,R
82749,R
82983,R
83208,R
83452,R
83707,R
83968,R
84210,R
84436,R
84669,R
84883,R
85101,R
85327,R
85560,R
85798,R
86030,R
86261,R
86492,R
86718,R
86947,R
87175,R
87413,R
87665,R
87910,R
88157,R
88405,R
88643,R
88865,R
89086,R
89307,R
89537,R
89773,R
90016,R
90256,R
90507,R
90743,R
90973,R
91206,R
91435,R
91670,R
91905,R
92147,R
92393,R
92641,R
92871,R
93098,R
93330,R
93559,R
93782,R
94014,R
94253,R
94495,R
94724,R
94955,R
95184,R
95403,R
95622,R
95851,R
96083,R
96318,R
96553,R
96793,R
97032,R
97264,R
97481,R
97696,R
97909,R
98124,R
98349,R
98581,R
98812,R
99056,R
99290,R
99517,R
99740,R
99963,R
100191,R
100410,R
100635,R
100877,R
101117,R
101347,R
101568,R
101785,R
102000,R
102217,R
102435,R
102658,R
102878,R
103101,R
103329,R
103555,R
103771,R
103982,R
104190,R
104415,R
104640,R
104871,R
105103,R
105335,R
105561,R
105775,R
105992,R
106210,R
106428,R
106649,R
106882,R
107110,R
107340,R
107569,R
107803,R
108018,R
108235,R
108457,R
108673,R
108891,R
109115,R
109347,R
109580,R
109812,R
110046,R
110284,R
110512,R
110740,R
110968,R
111204,R
111440,R
111683,R
111933,R
112196,N
112447,N
112687,N
112922,N
113146,N
113368,N
113599,N
113836,N
114072,N
114312,N
114550,N
114786,N
115013,N
115243,N
115481,N
115725,N
115969,N
116213,N
116458,N
116687,N
116910,N
117139,N
117372,N
117613,N
117855,N
118100,N
118342,N
118579,N
118808,N
119030,N
119246,N
119459,N
119676,N
119914,N
120161,N
120409,N
120648,N
120878,N
121109,N
121332,N
121553,N
121770,N
121994,N
122225,N
122455,N
122684,N
122924,N
123157,N
123375,N
123583,N
123814,N
124049,N
124274,N
124512,N
124754,N
124981,N
125208,N
125416,N
125624,R
125834,R
126040,R
126259,R
126493,R
126733,R
126975,R
127205,R
127429,R
127645,R
127858,R
128074,R
128288,R
128517,R
128760,R
128998,R
129236,R
129465,R
129683,R
129902,R
130115,R
130335,R
130561,R
130792,R
131032,R
131273,R
131521,R
131768,R
132007,R
132231,R
132452,R
132678,R
132905,R
133142,R
133382,R
133616,R
133850,R
134076,R
134301,R
134532,R
134771,R
135027,N
135273,N
135510,N
135740,N
135969,R
136190,R
136410,R
136625,R
136836,R
137056,R
137301,R
137551,R
137795,R
138035,R
138274,R
138504,R
138723,R
138947,R
139183,R
139413,R
139646,R
139886,R
140138,R
140373,R
140599,R
140820,R
141051,R
141282,R
141512,R
141762,R
142014,R
142255,R
142499,R
142743,R
142983,R
143215,R
143444,R
143672,R
143910,R
144155,R
144387,R
144613,R
144842,R
145070,R
145296,R
145521,R
145761,R
146018,R
146265,R
146506,R
146747,R
146979,R
147195,R
147416,R
147646,R
147885,R
148122,R
148361,R
148606,R
148843,R
149066,R
149286,R
149491,R
149697,R
149909,R
150126,R
150357,R
150587,R
150809,R
151035,R
151254,R
151466,R
151680,R
151895,R
152109,R
152318,R
152535,R
152761,R
152987,R
153210,R
153422,R
153633,R
153841,R
154048,R
154254,R
154472,R
154713,R
154956,R
155199,R
155431,R
155646,R
155856,R
156061,R
156266,R
156476,R
156684,R
156903,R
157123,R
157352,R
157582,R
157803,R
158023,R
158234,R
158452,R
158677,R
158904,R
159137,R
159369,R
159602,R
159828,R
160040,R
160252,R
160467,R
160682,R
160908,R
161128,R
161357,R
161591,R
161816,R
162039,R
162257,R
162471,R
162691,R
162905,R
163127,R
163358,R
163591,R
163820,R
164035,R
164255,R
164473,R
164687,R
164907,R
165132,R
165365,R
165605,R
165831,R
166061,R
166293,R
166512,R
166726,R
166942,R
167167,R
167398,R
167624,R
167867,R
168111,R
168342,R
168570,R
168794,R
169015,R
169238,R
169468,R
169715,R
169958,R
170198,R
170436,R
170670,R
170889,R
171103,R
171314,R
171527,R
171745,R
171981,R
172244,R
172508,R
172738,R
172955,R
173168,R
173377,R
173590,R
173817,R
174052,R
174299,R
174538,R
174782,R
175032,R
175262,R
175483,R
175703,R
175934,R
176166,R
176407,R
176649,R
176889,R
177135,R
177368,R
177601,R
177832,R
178064,R
178301,R
178536,R
178770,R
179005,R
179236,R
179457,R
179681,R
179916,R
180151,R
180392,R
180645,R
180884,R
181120,R
181345,R
181567,R
181785,R
181996,R
182211,R
182438,R
182669,R
182903,R
183145,R
183395,R
183633,R
183865,R
184076,R
184285,R
184496,R
184706,R
184922,R
185140,R
185368,R
185592,R
185817,R
186060,R
186317,N
186559,N
186809,N
187054,N
187293,N
187535,N
187786,N
188020,N
188256,N
188477,N
188712,N
188975,N
189246,N
189507,N
189768,N
190018,N
190277,N
190523,N
190756,N
190988,N
191220,N
191461,N
191700,N
191946,N
192199,N
192450,N
192695,N
192927,N
