index,annotation_symbol
19,+
58,L
346,L
660,L
975,L
1290,L
1607,L
1905,L
2135,V
2479,L
2757,L
3073,L
3235,V
3694,L
3972,L
4231,L
4494,L
4767,L
5042,L
5321,L
5638,L
5960,L
6229,L
6489,L
6751,L
7032,L
7326,L
7621,L
7910,L
8210,L
8486,L
8743,L
9012,L
9293,L
9590,L
9900,L
10197,L
10473,L
10751,L
11018,L
11289,L
11571,L
11864,L
12167,L
12464,L
12666,V
13004,L
13273,L
13556,L
13839,L
14130,L
14427,L
14714,L
14993,L
15263,L
15528,L
15822,L
16130,L
16434,L
16731,L
17008,L
17278,L
17541,L
17810,L
18085,L
18390,L
18695,L
18988,L
19270,L
19542,L
19827,L
20117,L
20409,L
20706,L
21013,L
21288,L
21548,L
21809,L
22078,L
22373,L
22679,L
22977,L
23259,L
23534,L
23792,L
24044,L
24312,L
24591,L
24897,L
25261,L
25544,L
25807,L
26080,L
26347,L
26617,L
26900,L
27192,L
27496,L
27619,~
27778,L
27869,~
28035,L
28113,+
28191,V
28573,L
28858,L
29079,V
29231,~
29436,L
29714,L
29808,~
29866,V
30234,L
30478,L
30645,V
31003,L
31291,L
31486,V
31665,+
31844,L
32094,L
32332,L
32567,L
32813,L
33068,L
33328,L
33538,V
33957,L
34218,L
34479,L
34741,L
35021,L
35304,L
35594,L
35877,L
36171,L
36451,L
36715,L
36974,L
37237,L
37523,L
37812,L
38094,L
38360,L
38627,L
38876,L
39125,L
39381,L
39650,L
39936,L
40246,L
40398,V
40814,L
41083,L
41362,L
41644,L
41927,L
42234,L
42388,V
42865,L
43139,L
43409,L
43709,L
44006,L
44312,L
44623,L
44778,V
45214,L
45484,L
45759,L
45897,V
46371,L
46681,L
46986,L
47132,V
47535,L
47806,L
48083,L
48365,L
48657,L
48973,L
49254,L
49508,L
49753,L
50016,L
50211,|
50287,L
50581,L
50881,L
51177,L
51472,L
51614,V
52011,L
52273,L
52537,L
52826,L
53114,L
53312,V
53667,L
53926,L
54186,L
54438,L
54707,L
54989,L
55281,L
55582,L
55869,L
55999,V
56435,L
56722,L
56928,V
57342,L
57641,L
57937,L
58096,V
58244,V
58698,L
58990,L
59284,L
59569,L
59856,L
60126,L
60391,L
60657,L
60830,V
61236,L
61544,L
61861,L
62098,V
62452,L
62721,L
62924,V
63296,L
63579,L
63890,L
64204,L
64489,L
64764,L
65036,L
65329,L
65636,L
65950,L
66276,L
66592,L
66877,L
67152,L
67434,L
67582,V
68060,L
68365,L
68654,L
68936,L
69200,L
69332,V
69730,L
70009,L
70296,L
70584,L
70852,L
71102,L
71352,L
71516,V
71861,L
72119,L
72389,L
72660,L
72925,L
73099,V
73411,L
73645,L
73898,L
74147,L
74407,L
74661,L
74924,L
75174,L
75422,L
75658,L
75897,L
76155,L
76338,V
76757,L
77048,L
77341,L
77617,L
77886,L
78157,L
78383,V
78717,L
79027,L
79327,L
79503,V
79867,L
80121,L
80399,L
80679,L
80827,V
81259,L
81559,L
81833,L
82089,L
82347,L
82494,V
82906,L
83209,L
83503,L
83780,L
84058,L
84326,L
84595,L
84872,L
85168,L
85483,L
85807,L
86101,L
86240,V
86412,V
86921,L
87216,L
87461,|
87512,L
87804,L
88098,L
88377,L
88642,L
88905,L
89194,L
89485,L
89776,L
90061,L
90338,L
90597,L
90855,L
91106,L
91176,+
91247,V
91627,L
91913,L
92063,V
92452,L
92701,L
92832,V
93198,L
93462,L
93610,V
93819,+
94028,L
94336,L
94634,L
94896,L
95164,L
95434,L
95729,L
96040,L
96349,L
96505,V
96973,L
97255,L
97540,L
97711,V
98166,L
98489,L
98802,L
99092,L
99235,V
99667,L
99950,L
100246,L
100545,L
100867,L
101163,L
101441,L
101725,L
102021,L
102320,L
102624,L
102931,L
103242,L
103525,L
103782,L
104049,L
104341,L
104635,L
104938,L
105244,L
105528,L
105815,L
106096,L
106382,L
106560,V
106750,V
107306,L
107609,L
107790,V
108162,L
108447,L
108718,L
108995,L
109287,L
109584,L
109857,L
110106,L
110367,L
110637,L
110931,L
111241,L
111544,L
111860,L
112157,L
112433,L
112575,V
113050,Q
113293,""""
113585,Q
114075,L
114360,L
114646,L
114953,L
115274,L
115419,V
115894,L
116196,L
116483,L
116621,V
117028,L
117310,L
117614,L
117908,L
118193,L
118477,L
118753,L
119024,L
119303,L
119477,V
119897,L
120207,L
120509,L
120776,L
121047,L
121325,L
121613,L
121910,L
122207,L
122522,L
122824,L
123097,L
123155,+
123234,V
123408,V
123530,V
123977,+
124072,L
124377,L
124673,L
124955,L
125223,L
125305,+
125388,V
125748,L
126025,L
126229,V
126612,L
126899,L
127075,V
127250,+
127426,L
127683,L
127947,L
128205,L
128482,L
128757,L
128947,V
129334,L
129585,L
129714,V
130130,L
130416,L
130710,L
131000,L
131291,L
131574,L
131856,L
132135,L
132420,L
132752,L
133086,L
133402,L
133702,L
133984,L
134126,V
134606,L
134919,L
135267,L
135590,L
135870,L
136140,L
136405,L
136681,L
136962,L
137249,L
137536,L
137832,L
138095,L
138344,L
138605,L
138877,L
139179,L
139491,L
139798,L
140098,L
140391,L
140532,V
140972,L
141280,L
141608,L
141814,V
142251,L
142548,L
142838,L
143134,L
143438,L
143751,L
144079,L
144399,L
144682,L
144819,V
145286,L
145600,L
145916,L
146227,L
146527,L
146816,L
147089,L
147372,L
147571,V
148014,L
148328,L
148625,L
148781,V
149183,L
149469,L
149751,L
150041,L
150364,L
150677,L
150966,L
151250,L
151540,L
151848,L
152164,L
152468,L
152650,|
152789,L
153086,L
153232,V
153641,L
153928,L
154222,L
154529,L
154825,L
155099,L
155363,L
155617,L
155867,L
156035,V
156372,L
156632,L
156908,L
157188,L
157447,L
157695,L
157962,L
158244,L
158537,L
158843,L
159155,L
159465,L
159614,V
160047,L
160343,L
160663,L
160845,V
161291,L
161592,L
161872,L
162138,L
162401,L
162670,L
162873,V
163303,L
163621,L
163925,L
164210,L
164496,L
164799,L
164956,V
165412,L
165739,L
166033,L
166293,L
166557,L
166720,V
167129,L
167441,L
167736,L
167898,|
168034,L
