index,annotation_symbol
15,+
229,N
466,N
706,N
944,N
1188,N
1430,N
1671,N
1902,N
2145,N
2393,N
2636,N
2873,N
3113,N
3354,N
3594,N
3840,N
4084,N
4324,N
4561,N
4806,N
5059,N
5302,N
5543,N
5783,N
6024,N
6266,N
6513,N
6753,N
6991,N
7228,N
7471,N
7709,N
7948,N
8181,N
8420,N
8654,N
8899,N
9140,N
9375,N
9611,N
9851,N
10097,N
10338,N
10575,N
10810,N
11044,N
11279,N
11520,N
11767,N
12000,N
12237,N
12475,N
12722,N
12961,N
13203,N
13442,N
13686,N
13925,N
14170,N
14420,N
14663,N
14902,N
15146,N
15394,N
15640,N
15877,N
16118,N
16357,N
16598,N
16843,N
17088,N
17326,N
17562,N
17804,N
18050,N
18293,N
18531,N
18770,N
19009,N
19251,N
19500,N
19738,N
19981,N
20218,N
20464,N
20709,N
20953,N
21192,N
21435,N
21675,N
21927,N
22176,N
22420,N
22659,N
22902,N
23150,N
23393,N
23631,N
23871,N
24110,N
24346,N
24589,N
24835,N
25070,N
25306,N
25546,N
25791,N
26028,N
26267,N
26504,N
26745,N
26984,N
27226,N
27467,N
27705,N
27945,N
28190,N
28439,N
28679,N
28913,N
29150,N
29392,N
29634,N
29875,N
30115,N
30353,N
30595,N
30840,N
31087,N
31331,N
31567,N
31804,N
32042,N
32285,N
32529,N
32769,N
33009,N
33242,N
33483,N
33725,N
33964,N
34198,N
34433,N
34669,N
34911,N
35155,N
35395,N
35634,N
35870,N
36112,N
36354,N
36594,N
36828,N
37063,N
37300,N
37540,N
37782,N
38016,N
38255,N
38487,N
38729,N
38966,N
39205,N
39438,N
39671,N
39907,N
40149,N
40388,N
40625,N
40861,N
41096,N
41334,N
41572,N
41812,N
42042,N
42272,N
42507,N
42744,N
42983,N
43217,N
43454,N
43687,N
43928,N
44170,N
44412,N
44647,N
44888,N
45127,N
45373,N
45619,N
45858,N
46099,N
46340,N
46586,N
46827,N
47067,N
47306,N
47544,N
47783,N
48023,N
48268,N
48505,N
48746,N
48989,N
49239,N
49476,N
49715,N
49952,N
50197,N
50435,N
50680,N
50918,N
51159,N
51393,N
51635,N
51879,N
52119,N
52353,N
52590,N
52830,N
53075,N
53322,N
53566,N
53807,N
54042,N
54282,N
54530,N
54770,N
55004,N
55237,N
55476,N
55715,N
55957,N
56196,N
56437,N
56674,N
56919,N
57163,N
57406,N
57645,N
57887,N
58125,N
58369,N
58611,N
58848,N
59085,N
59323,N
59563,N
59802,N
60037,N
60271,N
60507,N
60743,N
60985,N
61227,N
61462,N
61700,N
61937,N
62187,N
62427,N
62667,N
62900,N
63136,N
63371,N
63613,N
63855,N
64088,N
64322,N
64562,N
64809,N
65049,N
65288,N
65527,N
65766,N
66006,N
66247,N
66492,N
66727,N
66963,N
67198,N
67443,N
67679,N
67913,N
68144,N
68379,N
68610,N
68849,N
69091,N
69327,N
69560,N
69795,N
70041,N
70281,N
70519,N
70756,N
70991,N
71224,N
71463,N
71708,N
71942,N
72174,N
72407,N
72648,N
72884,N
73122,N
73356,N
73593,N
73829,N
74068,N
74311,N
74546,N
74783,N
75022,N
75270,N
75508,N
75745,N
75982,N
76223,N
76465,N
76709,N
76956,N
77198,N
77435,N
77678,N
77930,N
78172,N
78412,N
78652,N
78895,N
79136,N
79379,N
79624,N
79867,N
80104,N
80348,N
80596,N
80840,N
81077,N
81320,N
81565,N
81812,N
82061,N
82301,N
82542,N
82783,N
83037,N
83281,N
83525,N
83763,N
84000,N
84237,N
84478,N
84726,N
84965,N
85202,N
85445,N
85693,N
85934,N
86173,N
86413,N
86657,N
86895,N
87138,N
87381,N
87626,N
87860,N
88101,N
88345,N
88585,N
88817,N
88985,V
89292,N
89532,N
